Title,Movie Info,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime,License,Release Year
Star Wars: Episode VII - The Force Aw,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",Walt Disney Studios Motion Pictures,"December 16, 2015",936662225,1132859475,2069521700,action adventure scifi,2 hr 18 min,PG-13,kens
Avengers: En,"After the devastating events of Avengers: Infinity War, the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Walt Disney Studios Motion Pictures,"April 24, 2019",858373000,1939128328,2797501328,action adventure drama scifi,3 hr 1 min,PG-13,game
A,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Twentieth Century Fox,"December 16, 2009",760507625,2086738578,2847246203,action adventure fantasy scifi,2 hr 42 min,PG-13,atar
Black Pa,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Walt Disney Studios Motion Pictures,,700426566,647171407,1347597973,action adventure scifi,2 hr 14 min,,ther
Avengers: Infinit,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Walt Disney Studios Motion Pictures,,678815482,1369544272,2048359754,action adventure scifi,2 hr 29 min,, War
Spider-Man: No Way,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Sony Pictures Entertainment (SPE),,675813257,868642706,1544455963,action adventure fantasy scifi,2 hr 28 min,,Home
Ti,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",Paramount Pictures,"December 19, 1997",659363944,1542283320,2201647264,drama romance,3 hr 14 min,PG-13,anic
Jurassic ,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",Universal Pictures,"June 10, 2015",652385625,1018130819,1670516444,action adventure scifi,2 hr 4 min,PG-13,orld
The Ave,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Walt Disney Studios Motion Pictures,"April 25, 2012",623357910,895457605,1518815515,action adventure scifi,2 hr 23 min,PG-13,gers
Star Wars: Episode VIII - The Last,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",Walt Disney Studios Motion Pictures,"December 13, 2017",620181382,712517448,1332698830,action adventure fantasy scifi,2 hr 32 min,PG-13,Jedi
Incredib,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Walt Disney Studios Motion Pictures,,608581744,634507500,1243089244,action adventure animation comedy family scifi,1 hr 58 min,,es 2
The Lion,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",Walt Disney Studios Motion Pictures,"July 11, 2019",543638043,1119261396,1662899439,adventure animation drama family musical,1 hr 58 min,PG,King
The Dark K,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Warner Bros.,"July 16, 2008",534858444,471115201,1005973645,action crime drama thriller,2 hr 32 min,PG-13,ight
Rogue One: A Star Wars ,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",Walt Disney Studios Motion Pictures,"December 14, 2016",532177324,523880396,1056057720,action adventure scifi,2 hr 13 min,PG-13,tory
Star Wars: Episode IX - The Rise of Skyw,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",Walt Disney Studios Motion Pictures,"December 18, 2019",515202542,558946737,1074149279,action adventure fantasy scifi,2 hr 21 min,PG-13,lker
Beauty and the ,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",Walt Disney Studios Motion Pictures,"March 16, 2017",504481165,769095055,1273576220,adventure family fantasy musical romance,2 hr 9 min,PG,east
Finding,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",Walt Disney Studios Motion Pictures,,486295561,542275381,1028570942,adventure animation comedy family,1 hr 37 min,,Dory
Froz,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",Walt Disney Studios Motion Pictures,"November 20, 2019",477373578,972653355,1450026933,adventure animation comedy family fantasy musical,1 hr 43 min,PG,n II
Star Wars: Episode I - The Phantom M,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",Twentieth Century Fox,"May 19, 1999",474544677,552538030,1027082707,action adventure fantasy scifi,2 hr 16 min,PG,nace
Star Wars: Episode IV - A New,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Twentieth Century Fox,"May 25, 1977",460998507,195751992,775398007,action adventure fantasy scifi,2 hr 1 min,PG,Hope
