,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Family,Action,Fantasy,Western,Crime,Comedy,Biography,Sport,Adventure,War,Romance,Animation,Mystery,Sci-Fi,Drama,Musical,Horror,Thriller,Music,History
12,The Dark Knight (2008),Warner Bros.,534858444.0,471115201.0,1005973645.0,"['Action', 'Crime', 'Drama', 'Thriller']",152.0,90.0,89.0,76.6,85.2,60.3,28.994581876478833,28.81150464184451,29.90594536317954,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
21,The Dark Knight Rises (2012),Warner Bros.,448139099.0,633003513.0,1081142612.0,"['Action', 'Crime', 'Drama']",164.0,84.00000000000001,74.0,63.0,73.7,55.8,28.73937136256456,29.237638265345904,30.009909693483216,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
49,Despicable Me 2 (2013),Universal Pictures,368065385.0,602700620.0,970766005.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",98.0,73.0,60.8,52.6,62.1,48.1,28.455386835805285,29.166866307996894,29.854548347113447,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False
58,Zootopia (2016),Walt Disney Studios Motion Pictures,341268248.0,682852856.0,1024121104.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Mystery']",108.0,80.0,74.4,68.8,74.4,55.2,28.346330949732838,29.346999493120315,29.93173918046635,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False
61,Minions (2015),Universal Pictures,336045770.0,823398892.0,1159444662.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",91.0,64.0,53.800000000000004,41.8,53.2,47.0,28.32408250298083,29.617016266408577,30.110786818633095,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False
62,Joker (2019),Warner Bros.,335451311.0,738968073.0,1074419384.0,"['Crime', 'Drama', 'Thriller']",122.0,84.00000000000001,78.0,69.80000000000001,77.3,57.5,28.32152814109417,29.460936793403228,30.000910092297246,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
113,Despicable Me 3 (2017),Universal Pictures,264624300.0,770175831.0,1034800131.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",89.0,62.0,51.4,45.199999999999996,52.9,44.6,27.97937030703374,29.520612609520807,29.946704995758815,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False
127,Despicable Me (2010),Universal Pictures,251513985.0,291600000.0,543113985.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",95.0,76.0,69.19999999999999,59.199999999999996,68.1,43.6,27.906063379921783,28.11941547876375,29.016679771744883,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False
144,Fast & Furious 6 (2013),Universal Pictures,238679850.0,550001118.0,788680968.0,"['Action', 'Crime', 'Thriller']",130.0,70.0,61.8,51.4,61.1,44.4,27.830501534432972,29.03485931033877,29.554866587900893,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
162,Rush Hour 2 (2001),New Line Cinema,226164286.0,121161516.0,347325802.0,"['Action', 'Comedy', 'Crime', 'Thriller']",90.0,65.99999999999999,64.60000000000001,52.6,61.1,36.6,27.752795887902177,26.852356293780932,28.37171434815105,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
163,The Fate of the Furious (2017),Universal Pictures,226008385.0,1009996733.0,1236005118.0,"['Action', 'Crime', 'Thriller']",136.0,65.99999999999999,56.2,49.2,57.1,50.3,27.75180105728588,29.91170348033727,30.20303757109419,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
190,Austin Powers in Goldmember (2002),New Line Cinema,213307889.0,83630912.0,296938801.0,"['Action', 'Adventure', 'Comedy', 'Crime']",94.0,62.0,58.8,49.400000000000006,56.7,33.6,27.668362082539733,26.31753295993996,28.145590381735687,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
