,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Thriller,Music,Drama,Comedy,Western,Crime,History,Horror,Biography,Musical,Sci-Fi,Romance,Adventure,Action,Family,Fantasy,Animation,Sport,War
0,Star Wars: Episode VII - The Force Awakens (2015),Walt Disney Studios Motion Pictures,936662225.0,1132859475.0,2069521700.0,"['Action',",138.0,78.0,68.2,60.6,68.9,70.8,29.80295364244547,30.077321767841806,30.94665023003369,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
0,Star Wars: Episode VII - The Force Awakens (2015),Walt Disney Studios Motion Pictures,936662225.0,1132859475.0,2069521700.0,"'Adventure',",138.0,78.0,68.2,60.6,68.9,70.8,29.80295364244547,30.077321767841806,30.94665023003369,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
0,Star Wars: Episode VII - The Force Awakens (2015),Walt Disney Studios Motion Pictures,936662225.0,1132859475.0,2069521700.0,'Sci-Fi'],138.0,78.0,68.2,60.6,68.9,70.8,29.80295364244547,30.077321767841806,30.94665023003369,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
1,Avengers: Endgame (2019),Walt Disney Studios Motion Pictures,858373000.0,1939128328.0,2797501328.0,"['Action',",181.0,84.00000000000001,78.4,65.0,75.8,87.0,29.677029456140765,30.85276113553464,31.3814916700489,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
1,Avengers: Endgame (2019),Walt Disney Studios Motion Pictures,858373000.0,1939128328.0,2797501328.0,"'Adventure',",181.0,84.00000000000001,78.4,65.0,75.8,87.0,29.677029456140765,30.85276113553464,31.3814916700489,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
1,Avengers: Endgame (2019),Walt Disney Studios Motion Pictures,858373000.0,1939128328.0,2797501328.0,"'Drama',",181.0,84.00000000000001,78.4,65.0,75.8,87.0,29.677029456140765,30.85276113553464,31.3814916700489,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
1,Avengers: Endgame (2019),Walt Disney Studios Motion Pictures,858373000.0,1939128328.0,2797501328.0,'Sci-Fi'],181.0,84.00000000000001,78.4,65.0,75.8,87.0,29.677029456140765,30.85276113553464,31.3814916700489,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
2,Avatar (2009),Twentieth Century Fox,760507625.0,2086738578.0,2847246203.0,"['Action',",162.0,79.0,70.6,54.2,67.9,84.0,29.502387471867262,30.958602728156077,31.406920103121838,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
2,Avatar (2009),Twentieth Century Fox,760507625.0,2086738578.0,2847246203.0,"'Adventure',",162.0,79.0,70.6,54.2,67.9,84.0,29.502387471867262,30.958602728156077,31.406920103121838,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
2,Avatar (2009),Twentieth Century Fox,760507625.0,2086738578.0,2847246203.0,"'Fantasy',",162.0,79.0,70.6,54.2,67.9,84.0,29.502387471867262,30.958602728156077,31.406920103121838,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
2,Avatar (2009),Twentieth Century Fox,760507625.0,2086738578.0,2847246203.0,'Sci-Fi'],162.0,79.0,70.6,54.2,67.9,84.0,29.502387471867262,30.958602728156077,31.406920103121838,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
3,Black Panther (2018),Walt Disney Studios Motion Pictures,700426566.0,647171407.0,1347597973.0,"['Action',",134.0,73.0,74.8,59.400000000000006,69.1,58.2,29.38365856290123,29.269572627851716,30.327743017519204,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
3,Black Panther (2018),Walt Disney Studios Motion Pictures,700426566.0,647171407.0,1347597973.0,"'Adventure',",134.0,73.0,74.8,59.400000000000006,69.1,58.2,29.38365856290123,29.269572627851716,30.327743017519204,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
3,Black Panther (2018),Walt Disney Studios Motion Pictures,700426566.0,647171407.0,1347597973.0,'Sci-Fi'],134.0,73.0,74.8,59.400000000000006,69.1,58.2,29.38365856290123,29.269572627851716,30.327743017519204,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
4,Avengers: Infinity War (2018),Walt Disney Studios Motion Pictures,678815482.0,1369544272.0,2048359754.0,"['Action',",149.0,84.00000000000001,80.0,68.60000000000001,77.5,74.7,29.3384442284431,30.35104875746109,30.931821972513465,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
4,Avengers: Infinity War (2018),Walt Disney Studios Motion Pictures,678815482.0,1369544272.0,2048359754.0,"'Adventure',",149.0,84.00000000000001,80.0,68.60000000000001,77.5,74.7,29.3384442284431,30.35104875746109,30.931821972513465,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
4,Avengers: Infinity War (2018),Walt Disney Studios Motion Pictures,678815482.0,1369544272.0,2048359754.0,'Sci-Fi'],149.0,84.00000000000001,80.0,68.60000000000001,77.5,74.7,29.3384442284431,30.35104875746109,30.931821972513465,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
5,Spider-Man: No Way Home (2021),Sony Pictures Entertainment (SPE),675813257.0,868642706.0,1544455963.0,"['Action',",148.0,82.0,80.39999999999999,65.99999999999999,76.1,65.2,29.332049410311722,29.69418764237637,30.52445159004262,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
5,Spider-Man: No Way Home (2021),Sony Pictures Entertainment (SPE),675813257.0,868642706.0,1544455963.0,"'Adventure',",148.0,82.0,80.39999999999999,65.99999999999999,76.1,65.2,29.332049410311722,29.69418764237637,30.52445159004262,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
5,Spider-Man: No Way Home (2021),Sony Pictures Entertainment (SPE),675813257.0,868642706.0,1544455963.0,"'Fantasy',",148.0,82.0,80.39999999999999,65.99999999999999,76.1,65.2,29.332049410311722,29.69418764237637,30.52445159004262,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
5,Spider-Man: No Way Home (2021),Sony Pictures Entertainment (SPE),675813257.0,868642706.0,1544455963.0,'Sci-Fi'],148.0,82.0,80.39999999999999,65.99999999999999,76.1,65.2,29.332049410311722,29.69418764237637,30.52445159004262,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
